2691;2;Saint-Quentin;59049;3028;5;24661;53714;60640;4483;1418;386;1218;234;10.39722222222222;20080;18426;436;0;Centres urbains intermédiaires
6004;6;Antibes;72454;-66;0;34144;66092;75626;4652;2356;812;3519;720;12.579245283018867;26226;21994;774;2;Grands centres urbains
6029;6;Cannes;67406;-3706;-5;33191;58742;73320;3609;3068;1057;5106;842;12.579245283018867;20554;17475;860;6;Grands centres urbains
6088;6;Nice;343123;-4174;-1;164910;306560;364590;29004;11956;3592;13867;3222;12.579245283018867;119245;103265;4033;18;Grands centres urbains
10387;10;Troyes;60903;1905;3;28128;55640;62872;5897;1864;417;1613;284;10.48095238095238;22641;20779;482;1;Grands centres urbains
13001;13;Aix-en-Provence;134324;5230;3;60880;121586;141024;20268;6316;1508;4759;1169;12.4778947368421;47614;41848;1859;5;Grands centres urbains
13004;13;Arles;50467;1102;2;20691;47352;51056;3507;1396;476;1381;339;12.4778947368421;17057;14563;438;1;Centres urbains intermédiaires
13055;13;Marseille;797491;16232;2;346820;731594;820766;71159;24830;6818;21248;5488;12.4778947368421;257721;228818;8785;32;Grands centres urbains
14118;14;Caen;114007;7390;6;54358;101972;120482;19489;3793;698;3240;646;10.7;39970;36554;1081;1;Grands centres urbains
17300;17;La Rochelle;76711;2163;2;37761;69634;80262;8465;2741;758;2358;576;10.633333333333333;26483;23780;725;1;Grands centres urbains
18033;18;Bourges;72434;2788;3;32311;66830;74276;5878;1877;462;1543;275;10.364999999999998;28269;26076;467;1;Grands centres urbains
21231;21;Dijon;150138;7203;4;71334;134836;158050;23891;4494;981;3454;670;11.059259259259258;60359;55717;1213;4;Grands centres urbains
25056;25;Besançon;117691;8053;6;55159;105880;123358;18671;3538;791;2596;512;10.96;44620;40994;986;2;Grands centres urbains
26362;26;Valence;64222;3559;5;28965;58558;66156;5801;2405;623;2330;500;10.955263157894734;22980;20842;592;4;Grands centres urbains
29019;29;Brest;149649;9486;6;70552;138866;151538;18783;3169;792;2793;486;10.813861386138615;54424;50556;971;1;Grands centres urbains
29232;29;Quimper;63274;1931;3;28837;57288;66282;6357;2056;580;1929;292;10.813861386138615;25401;22807;585;2;Grands centres urbains
2A004;2A;Ajaccio;52851;1423;2;22333;47790;55574;3326;2067;623;2333;418;10.78888888888889;19034;16752;593;4;Centres urbains intermédiaires
30189;30;Nîmes;133406;4079;3;60191;121262;138514;11923;4734;1118;3969;1008;10.982258064516127;43541;38028;1503;6;Grands centres urbains
31555;31;Toulouse;390301;19015;4;199430;359312;402118;60792;14312;3612;11739;3070;12.77692307692308;147350;132153;4126;14;Grands centres urbains
33063;33;Bordeaux;215374;4019;1;114133;193446;227122;30147;9691;2030;8284;1977;11.54747474747474;81264;71034;2537;7;Grands centres urbains
33281;33;Mérignac;61990;3335;5;27649;56118;64738;5894;1845;684;1559;404;11.54747474747474;26351;24292;465;6;Grands centres urbains
33318;33;Pessac;56151;1881;3;22070;51600;58128;7996;1315;441;800;247;11.54747474747474;21412;19576;467;3;Grands centres urbains
34032;34;Béziers;69359;-66;0;31560;62224;73186;4386;2187;665;2524;582;11.425581395348836;20281;17204;762;1;Grands centres urbains
34172;34;Montpellier;225511;11823;5;112008;201190;238830;39317;9037;1890;6431;1961;11.425581395348836;72771;64751;2779;7;Grands centres urbains
35238;35;Rennes;206194;14304;6;99462;185110;216642;38336;6113;1116;4728;970;11.434090909090909;78816;72637;1559;5;Grands centres urbains
37261;37;Tours;132677;5402;4;66627;116688;142338;20063;4080;891;3187;664;11.67959183673469;49086;45074;1251;2;Grands centres urbains
38185;38;Grenoble;153426;7700;5;75227;142570;157006;25230;5741;1252;4584;964;12.39905660377358;57320;52027;1719;2;Grands centres urbains
42218;42;Saint-Etienne;180438;6489;3;82269;163846;188158;19289;4711;1453;4961;970;10.936363636363636;63182;57494;1267;3;Grands centres urbains
44109;44;Nantes;270343;15198;5;130582;245248;280616;38246;9242;1977;6297;1659;11.068852459016398;100975;91591;2364;6;Grands centres urbains
44184;44;Saint-Nazaire;65868;2318;3;29109;61072;67260;5788;1523;455;1412;268;11.068852459016398;23002;21047;458;0;Centres urbains intermédiaires
45234;45;Orléans;113089;8380;7;50689;103776;115668;13824;3480;646;2348;593;11.520689655172417;47170;43966;853;7;Grands centres urbains
49007;49;Angers;151322;9417;6;70810;133852;160634;25332;4126;898;2930;624;10.555714285714288;55247;50902;1202;2;Grands centres urbains
49099;49;Cholet;54215;3879;7;22551;50966;54676;4926;1306;469;1204;245;10.555714285714288;22206;20184;339;2;Centres urbains intermédiaires
51454;51;Reims;187181;12879;6;83262;171830;191626;26018;4195;1221;3409;787;11.032142857142857;71191;66232;1172;12;Grands centres urbains
54395;54;Nancy;103552;5287;5;52981;92774;109110;19356;3773;792;2984;580;11.173529411764704;39679;35822;955;3;Grands centres urbains
56121;56;Lorient;59224;2768;4;29128;53682;61646;5472;1769;486;1691;351;10.433333333333334;20609;18548;513;1;Grands centres urbains
56260;56;Vannes;51759;2805;5;23877;46780;54006;5874;2061;506;1645;335;10.433333333333334;20041;17975;646;3;Grands centres urbains
57463;57;Metz;123704;9378;7;53048;115778;124776;15604;3618;796;3158;615;10.91868131868132;49052;45577;901;2;Grands centres urbains
59009;59;Villeneuve-d'Ascq;64997;8574;13;22715;60616;64972;10448;1761;340;1109;229;11.215948275862075;25516;23932;369;1;Grands centres urbains
59183;59;Dunkerque;70834;4143;5;29152;65728;71800;6022;1636;622;1558;227;11.215948275862075;25272;23008;488;0;Grands centres urbains
59350;59;Lille;212566;14194;6;99846;193282;219008;37365;7398;1561;6768;1393;11.215948275862075;74531;69099;1664;10;Grands centres urbains
59512;59;Roubaix;96959;8510;8;34138;89776;96112;9364;2422;618;2141;661;11.215948275862075;26401;24423;558;0;Grands centres urbains
59599;59;Tourcoing;93531;6914;7;34143;86436;93998;8418;1471;506;1286;332;11.215948275862075;31399;29449;463;3;Grands centres urbains
60057;60;Beauvais;55371;4589;8;22072;51164;55840;4215;1401;338;1174;212;11.981428571428577;21609;20314;322;3;Centres urbains intermédiaires
62193;62;Calais;77317;5573;7;30336;71128;78154;6221;1293;413;1359;277;10.70827586206897;24509;22853;413;2;Grands centres urbains
63113;63;Clermont-Ferrand;137154;5830;4;67612;123726;144170;21070;4365;1041;3744;654;11.554166666666667;52167;48263;1089;7;Grands centres urbains
64445;64;Pau;78800;1977;2;38911;69692;84372;10602;2865;593;2505;380;11.204761904761902;27400;24724;789;3;Grands centres urbains
66136;66;Perpignan;105096;766;0;49902;93574;111732;8889;3888;1026;4068;1044;10.247916666666663;30279;25895;1182;8;Grands centres urbains
67482;67;Strasbourg;263941;15903;6;116767;242090;270524;34725;8459;1983;7108;1542;11.76625;102649;93682;2245;3;Grands centres urbains
68066;68;Colmar;65118;3647;5;27831;59440;66638;4333;1839;500;1999;302;11.419999999999998;27622;25642;514;0;Grands centres urbains
68224;68;Mulhouse;110141;7359;6;45926;104138;109024;8297;2997;665;2582;545;11.419999999999998;42034;39110;797;0;Grands centres urbains
69123;69;Lyon;445274;19741;4;216157;398282;466560;55711;18849;4687;17203;3626;13.190384615384614;183490;165650;4454;35;Grands centres urbains
69259;69;Vénissieux;56014;6054;10;20686;53052;55182;4675;822;418;821;235;13.190384615384614;19657;18550;268;4;Grands centres urbains
69266;69;Villeurbanne;124152;8047;6;55136;114774;125988;14364;2946;1049;2939;803;13.190384615384614;48657;45053;759;1;Grands centres urbains
72181;72;Le Mans;146064;7094;4;66487;134100;150520;14356;3735;927;3054;595;10.858695652173909;56611;52509;1056;0;Grands centres urbains
73065;73;Chambéry;55762;2360;4;25254;50772;57946;7126;2140;572;1613;331;11.591428571428567;20290;18365;631;1;Grands centres urbains
74010;74;Annecy;50324;1880;3;24481;46082;51904;3927;2620;524;2223;420;11.40441176470588;20992;18823;842;1;Grands centres urbains
75056;75;Paris;2125851;91923;4;1110912;1938228;2204918;193636;159828;36275;156371;28917;17.8;991003;860152;24329;353;Grands centres urbains
76351;76;Le Havre;190924;10764;5;79863;175802;194778;18139;3236;1325;3098;557;11.73950617283951;63977;59973;982;2;Grands centres urbains
76540;76;Rouen;106560;5599;5;54133;96210;111396;14957;4062;1036;3919;669;11.73950617283951;40875;37237;1101;2;Grands centres urbains
78586;78;Sartrouville;50222;4076;8;18502;47172;49998;4114;671;328;749;188;17.057999999999996;21919;20383;210;0;Grands centres urbains
78646;78;Versailles;85761;5314;6;35837;79164;86880;8053;3417;714;2589;515;17.057999999999996;36791;33544;745;1;Grands centres urbains
79191;79;Niort;56661;1839;3;26607;51920;58718;4320;1734;415;1362;228;10.399999999999997;22833;20907;430;1;Centres urbains intermédiaires
80021;80;Amiens;135449;9836;7;57593;123052;139778;19014;3376;794;2482;460;10.443589743589742;47277;44159;906;7;Grands centres urbains
82121;82;Montauban;51889;1327;2;22343;47870;53350;3526;1764;508;1572;372;10.270588235294118;19871;17522;495;1;Centres urbains intermédiaires
83069;83;Hyères;51412;350;0;22720;47332;53038;3359;1609;454;1879;468;11.21168831168831;17865;14927;620;0;Centres urbains intermédiaires
83126;83;La Seyne-sur-Mer;60070;2285;3;24247;55836;60978;4270;1372;437;1138;395;11.21168831168831;18281;16374;571;3;Grands centres urbains
83137;83;Toulon;160712;2281;1;73849;146114;167226;10453;4325;953;4128;1084;11.21168831168831;50466;45223;1630;0;Grands centres urbains
84007;84;Avignon;85937;3962;4;38319;77410;89750;7762;3704;1012;3238;853;11.082000000000004;28103;25086;1005;4;Grands centres urbains
86194;86;Poitiers;83507;3777;4;42337;73920;89636;18813;2532;487;1646;305;10.947222222222226;28791;26689;607;2;Grands centres urbains
87085;87;Limoges;133924;1545;1;66359;120714;141558;16785;3835;1000;3467;553;10.986956521739131;52338;48211;995;5;Grands centres urbains
92002;92;Antony;59849;4315;7;23342;55750;60478;6368;1443;369;886;232;17.731428571428566;25763;23760;505;8;Grands centres urbains
92004;92;Asnières-sur-Seine;75832;5958;7;33917;69038;76956;5528;1863;670;2024;534;17.731428571428566;35129;32181;398;5;Grands centres urbains
92012;92;Boulogne-Billancourt;106316;5625;5;52333;96160;109688;7924;6168;1256;4405;936;17.731428571428566;50659;44532;955;15;Grands centres urbains
92024;92;Clichy;50237;3307;6;23703;47580;49232;3539;1423;624;1757;402;17.731428571428566;23441;21728;230;13;Grands centres urbains
92025;92;Colombes;76690;5126;6;30991;71326;76890;5972;1396;557;1361;387;17.731428571428566;32601;30104;345;7;Grands centres urbains
92026;92;Courbevoie;69665;5655;8;32968;63196;71080;5250;3380;1100;2447;508;17.731428571428566;34714;31826;530;11;Grands centres urbains
92040;92;Issy-les-Moulineaux;52642;2510;4;24071;48550;52988;3797;2072;472;1336;306;17.731428571428566;26220;24216;336;8;Grands centres urbains
92044;92;Levallois-Perret;54750;3269;5;26766;49506;55972;4179;3144;790;2448;515;17.731428571428566;26971;24320;450;24;Grands centres urbains
92050;92;Nanterre;84270;7530;8;31453;81132;81624;7468;2252;861;1709;416;17.731428571428566;35644;33688;362;9;Grands centres urbains
92051;92;Neuilly-sur-Seine;59874;1235;2;28797;53086;63498;5190;4280;744;3173;690;17.731428571428566;24214;18451;747;29;Grands centres urbains
92063;92;Rueil-Malmaison;73599;4681;6;30246;67774;74676;5993;2307;595;1562;424;17.731428571428566;34285;31515;485;13;Grands centres urbains
93001;93;Aubervilliers;63130;6351;10;25094;60876;60798;4612;990;618;2863;800;11.7725;23895;22109;229;2;Grands centres urbains
93005;93;Aulnay-sous-Bois;80030;7493;9;27133;75874;78614;7427;1051;705;1358;312;11.7725;30102;27723;343;7;Grands centres urbains
93029;93;Drancy;62271;3759;6;24257;59618;60878;4687;681;332;1106;310;11.7725;25116;23274;232;0;Grands centres urbains
93048;93;Montreuil;90735;7506;8;38214;86536;89212;6535;2385;1002;2716;823;11.7725;37447;34531;375;2;Grands centres urbains
93051;93;Noisy-le-Grand;58193;6101;10;21280;55126;57350;5883;1021;459;908;251;11.7725;26373;24459;246;0;Grands centres urbains
93066;93;Saint-Denis;85994;9068;10;33365;81834;83770;7205;1890;862;2387;530;11.7725;33346;31294;344;2;Grands centres urbains
94017;94;Champigny-sur-Marne;74232;5511;7;27919;69808;73850;5867;947;497;1098;357;14.17872340425532;30789;28295;309;1;Grands centres urbains
94028;94;Créteil;81786;9123;11;31554;74692;83082;7608;1714;565;1372;399;14.17872340425532;35840;33359;437;1;Grands centres urbains
94033;94;Fontenay-sous-Bois;50865;2341;4;20586;46726;51714;4047;1074;340;860;237;14.17872340425532;22422;20456;267;6;Grands centres urbains
94041;94;Ivry-sur-Seine;50951;2865;5;21702;47910;50956;3976;1123;532;1424;317;14.17872340425532;21381;19674;203;1;Grands centres urbains
94046;94;Maisons-Alfort;51091;3312;6;22951;46778;52454;4171;996;418;934;269;14.17872340425532;23689;21792;247;9;Grands centres urbains
94068;94;Saint-Maur-des-Fossés;73071;1992;2;32339;67144;75030;5643;2356;618;2621;500;14.17872340425532;32844;28489;650;9;Grands centres urbains
94081;94;Vitry-sur-Seine;78908;6232;7;30284;75452;77508;6463;989;629;1232;344;14.17872340425532;32466;30107;312;2;Grands centres urbains
95018;95;Argenteuil;93932;7214;7;35456;88966;92692;7467;1379;788;1782;526;13.710526315789474;38461;35958;369;4;Grands centres urbains
95127;95;Cergy;54816;7923;14;18883;52260;53268;8804;1387;408;827;287;13.710526315789474;23579;22464;303;2;Grands centres urbains
95585;95;Sarcelles;57851;6649;11;18048;53818;57388;5681;914;426;1014;405;13.710526315789474;19378;17905;296;4;Grands centres urbains
